Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;HOTBOX2021;94:4E:5B:6F:7E:D1;;1;No;WPA2,AES-CCM;No;130.0;0;82;0;10;0;0;10;;;Wed Dec 31 13:11:24 2025;Wed Dec 31 13:18:57 2025;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;BOSS 2.4;3C:7C:3F:B5:F3:A0;;4;No;WPA2,AES-CCM;No;360.0;0;126;0;27;0;0;27;;;Wed Dec 31 13:11:25 2025;Wed Dec 31 13:18:44 2025;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Hadad;B0:BB:E5:A4:DA:04;;10;No;WPA2,AES-CCM;No;195.0;0;93;0;37;0;0;37;;;Wed Dec 31 13:11:26 2025;Wed Dec 31 13:18:44 2025;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Hadad;B0:BB:E5:A4:DA:05;;36;No;WPA2,AES-CCM;No;1733.0;0;143;0;22;0;0;22;;;Wed Dec 31 13:11:27 2025;Wed Dec 31 13:18:45 2025;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;B2:BB:E5:A4:DA:07;;36;No;WPA2,AES-CCM;No;1733.0;0;143;0;24;0;0;24;;;Wed Dec 31 13:11:27 2025;Wed Dec 31 13:18:45 2025;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;SHLP5G;C4:E9:0A:BF:27:B2;;36;No;WPA2,AES-CCM;No;866.0;0;136;0;21;0;0;21;;;Wed Dec 31 13:11:27 2025;Wed Dec 31 13:18:45 2025;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;62:45:B6:AC:63:B3;;-1;No;WEP;No;-1.0;0;142;0;0;0;0;0;;;Wed Dec 31 13:11:28 2025;Wed Dec 31 13:18:46 2025;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;HOTBOX2021;94:4E:5B:6F:7E:D2;;48;No;WPA2,AES-CCM;No;1733.0;0;131;0;12;0;0;12;;;Wed Dec 31 13:11:29 2025;Wed Dec 31 13:18:47 2025;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;96:4E:5B:6F:7E:D7;;48;No;WPA3,AES-CCM,SAE;No;1733.0;0;138;0;12;0;0;12;;;Wed Dec 31 13:11:29 2025;Wed Dec 31 13:18:47 2025;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;BOSS AC;3C:7C:3F:B5:F3:A4;;60;No;WPA2,AES-CCM;No;780.0;0;141;0;16;0;0;16;;;Wed Dec 31 13:11:30 2025;Wed Dec 31 13:18:48 2025;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;BOSS AX;3C:7C:3F:B5:F3:A8;;100;No;WPA2,AES-CCM;No;1733.0;0;142;0;23;0;0;23;;;Wed Dec 31 13:11:31 2025;Wed Dec 31 13:18:49 2025;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Taliindibo;8A:70:23:01:D7:60;;48;No;WPA2,AES-CCM;No;1733.0;0;35;0;12;0;0;12;;;Wed Dec 31 13:13:34 2025;Wed Dec 31 13:18:47 2025;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;;8A:70:23:01:D7:61;;48;No;WPA3,AES-CCM,SAE;No;1733.0;0;35;0;16;0;0;16;;;Wed Dec 31 13:13:34 2025;Wed Dec 31 13:18:47 2025;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;Rotenberg_Plus;CC:D8:43:98:AF:76;;2;No;WPA2,AES-CCM,TKIP;No;270.0;0;3;0;0;0;0;0;;;Wed Dec 31 13:15:03 2025;Wed Dec 31 13:18:26 2025;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;SHLP;C4:E9:0A:BF:27:B3;;5;No;WPA2,AES-CCM;No;270.0;0;5;0;1;0;0;1;;;Wed Dec 31 13:15:21 2025;Wed Dec 31 13:17:57 2025;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
